,group,Alpha,Alpha,Alpha,Beta,Beta,Beta
,,da,ap,ap type,da,ap,ap type
test 28,kvret,0.8020836196706891,0.31818181818181823,0.5559136344537006,0.8960836985720345,0.6528925619834711,0.7704957224091118
test 52,kvret,0.3709739368998627,0.1785714285714286,0.27994811919539575,0.6812999315423134,0.5909090909090908,0.6381561301640462
test 96,kvret,0.595147090401546,0.22282608695652184,0.4104087452471482,0.8000233345000582,0.6060606060606061,0.7050115926520422
test 129,kvret,0.8300424893776556,0.3398058252427185,0.5815294465235374,0.913303567558195,0.7037037037037037,0.8003554384073164
test 102,kvret,0.8511931509117139,0.611764705882353,0.7312581063553827,0.9191062084570782,0.7894736842105263,0.8540896447308194
mean,kvret,0.6898880574522934,0.33422997296696805,0.511811610355033,0.8419633481259359,0.6686079293734796,0.7536217056726672
task1 test 290,babl,0.4596382102148995,0.05797101449275355,0.27052896037576135,0.7280981270698246,0.5260416666666667,0.6329422041625565
task1 test 428,babl,0.6049030029231997,0.01098901098901095,0.3224780216525486,0.79450993168266,0.5401459854014601,0.6664313933084336
task1 test 555,babl,0.18356091268958763,0.012269938650306678,0.09657402552001382,0.5851526410471981,0.554263565891473,0.5686014289529917
task1 test 564,babl,0.4075880622532875,0.15286624203821664,0.28114261847958844,0.688920927137629,0.5777777777777781,0.6322882961271086
task1 test 894,babl,0.45720702505303634,0.35,0.4075182569136837,0.7114574362678372,0.6614583333333335,0.6880515354747618
mean,babl,0.42257944262680214,0.11681924123405756,0.2756483765883192,0.7016278126410298,0.5719374658141423,0.6376629716051705
jason-mammoth,scose,0.21834472543506211,0.1432942376338603,0.18313195607168498,0.610513529045607,0.5851528384279474,0.5984423104836543
jason-clone,scose,0.056845594344014816,-0.018428709990300884,0.02163984987130152,0.5433362866921405,0.5077720207253882,0.5266767040611344
jason-accident,scose,0.3879837812707815,0.0500856979622929,0.20127981862217714,0.70944834397142,0.5653746770025838,0.6285164092078248
lynne-hunter,scose,0.268430211349589,-0.007827175954915333,0.12284098375269492,0.6392928940935763,0.5017182130584192,0.5668874331970128
lynne-tipsy,scose,0.49945677451488335,0.20152423788105944,0.3428419162504356,0.7431474872085024,0.6128453534266236,0.6728375617544755
mean,scose,0.2862122173828662,0.07372965750639929,0.17434690491365884,0.6491477082022492,0.5545726205281925,0.5986720837408204
KB7RE015,cabnc,0.4152116785967631,0.10920770877944341,0.2670178593305188,0.6938809094981673,0.5362318840579714,0.6173373042342709
KBKRE03G,cabnc,0.2950271550049248,0.10096153846153844,0.20091698661795954,0.6388888888888888,0.531914893617021,0.5874450465187606
KDARE00G,cabnc,0.0381091269295325,0.03378378378378377,0.03596651487470348,0.5564627274471834,0.4901960784313726,0.5252760237805103
KE2RE00Y,cabnc,0.2764458248838463,0.29032258064516137,0.28422629496992247,0.627326934264107,0.6799999999999999,0.6578198322947919
KBERE00G,cabnc,0.13981265797690434,0.07638888888888895,0.10781185348303901,0.5815976240067886,0.5410628019323676,0.5613577779708635
mean,cabnc,0.23292128867839418,0.12213290011176318,0.17918790185522865,0.619631416821027,0.5558811316077465,0.5898471969598394
