Set,set 1,set 1,set 1,set 1,set 1,set 1,set 1,set 1,set 1,set 2,set 2,set 2,set 2,set 2,set 2,set 2,set 2,set 2,set 3,set 3,set 3,set 3,set 3,set 3,set 3,set 3,set 3,set 4,set 4,set 4,set 4,set 4,set 4,set 4,set 4,set 4,set 5,set 5,set 5,set 5,set 5,set 5,set 5,set 5,set 5,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues,Ordered Dialogues
,usr1-1,usr1-1,usr1-1,usr11-1,usr11-1,usr11-1,usr6-1,usr6-1,usr6-1,usr12-2,usr12-2,usr12-2,usr2-2,usr2-2,usr2-2,usr7-2,usr7-2,usr7-2,usr13-3,usr13-3,usr13-3,usr3-3,usr3-3,usr3-3,usr8-3,usr8-3,usr8-3,usr14-4,usr14-4,usr14-4,usr4-4,usr4-4,usr4-4,usr9-4,usr9-4,usr9-4,usr10-5,usr10-5,usr10-5,usr15-5,usr15-5,usr15-5,usr5-5,usr5-5,usr5-5,usr1-1,usr1-1,usr1-1,usr11-1,usr11-1,usr11-1,usr6-1,usr6-1,usr6-1,usr12-2,usr12-2,usr12-2,usr2-2,usr2-2,usr2-2,usr7-2,usr7-2,usr7-2,usr13-3,usr13-3,usr13-3,usr3-3,usr3-3,usr3-3,usr8-3,usr8-3,usr8-3,usr14-4,usr14-4,usr14-4,usr4-4,usr4-4,usr4-4,usr9-4,usr9-4,usr9-4,usr10-5,usr10-5,usr10-5,usr15-5,usr15-5,usr15-5,usr5-5,usr5-5,usr5-5
,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type
practice,6.0,5.0,4.0,5.0,5.0,4.0,6.0,6.0,6.0,3.0,4.0,5.0,5.0,6.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,7.0,7.0,7.0,5.0,4.0,4.0,6.0,4.0,5.0,6.0,5.0,5.0,6.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB7RE015,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jason-mammoth,5.0,5.0,5.0,7.0,5.0,4.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task1_test_290,6.0,3.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_28,5.0,7.0,5.0,7.0,5.0,5.0,5.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBKRE03G,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jason-clone,,,,,,,,,,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task1_test_428,,,,,,,,,,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_52,,,,,,,,,,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDARE00G,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jason-accident,,,,,,,,,,,,,,,,,,,4.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task1_test_555,,,,,,,,,,,,,,,,,,,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_96,,,,,,,,,,,,,,,,,,,4.0,3.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KE2RE00Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lynne-hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,3.0,6.0,5.0,5.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task1_test_564,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_129,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,5.0,6.0,6.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBERE00G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lynne-tipsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task1_test_894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,6.0,4.0,4.0,4.0,6.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,4.0,5.0,5.0,4.0,6.0,6.0,6.0,3.0,4.0,5.0,5.0,6.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,7.0,7.0,7.0,5.0,4.0,4.0,6.0,4.0,5.0,6.0,5.0,5.0,6.0,5.0,4.0
Dialogue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,6.0,4.0,3.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,2.0,6.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,3.0,2.0,2.0,6.0,3.0,4.0
Dialogue 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,3.0,7.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,6.0,3.0,3.0,3.0
Dialogue 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,7.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,6.0,6.0,3.0,3.0,3.0,4.0,2.0,3.0
Dialogue 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,5.0,6.0,6.0,6.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,7.0,6.0
