,kvret,kvret,kvret,kvret,babl,babl,babl,babl,scose,scose,scose,scose,cabnc,cabnc,cabnc,cabnc
,mean,sd,min,max,mean,sd,min,max,mean,sd,min,max,mean,sd,min,max
KB7RE015,,,,,,,,,,,,,29.713888888888885,17.51931557234633,19.34011111111111,49.941222222222216
KBERE00G,,,,,,,,,,,,,66.48646666666667,25.98372421138535,46.1674,95.7642
KBKRE03G,,,,,,,,,,,,,27.046499999999998,19.2527215074764,11.524833333333333,48.5905
KDARE00G,,,,,,,,,,,,,19.487666666666666,3.518301519672998,15.525,22.2445
KE2RE00Y,,,,,,,,,,,,,40.717333333333336,26.605175396825206,16.948,69.45725
jason-accident,,,,,,,,,28.294172413793103,17.044770741636814,14.429724137931034,47.32420689655172,,,,
jason-clone,,,,,,,,,19.82036842105263,11.409260086691061,9.899684210526315,32.28778947368421,,,,
jason-mammoth,,,,,,,,,17.10114035087719,4.268802943631913,14.060263157894736,21.981263157894738,,,,
lynne-hunter,,,,,,,,,31.604386666666667,11.993303696735664,22.01444,45.05176,,,,
lynne-tipsy,,,,,,,,,31.00130769230769,3.2017567822374535,28.27296153846154,34.52611538461538,,,,
task1 test 290,,,,,35.409190476190474,15.222691086833827,17.839,44.63771428571428,,,,,,,,
task1 test 428,,,,,20.51509523809524,4.0146303215922154,16.10257142857143,23.952,,,,,,,,
task1 test 555,,,,,32.03353333333333,19.881602902516015,10.712200000000001,50.065,,,,,,,,
task1 test 564,,,,,32.4532,3.8795736518334065,28.421,36.1596,,,,,,,,
task1 test 894,,,,,47.41626666666667,36.43552444323168,21.4292,89.0638,,,,,,,,
test 102,28.86991666666667,11.878246820168089,19.67,42.27975,,,,,,,,,,,,
test 129,19.51827777777778,9.872461342223819,10.545166666666667,30.094,,,,,,,,,,,,
test 28,27.001714285714286,12.07770847893096,13.837,37.570142857142855,,,,,,,,,,,,
test 52,23.911458333333332,9.817186288861404,15.704375,34.787,,,,,,,,,,,,
test 96,23.812083333333334,1.4725413053063516,22.1965,25.079,,,,,,,,,,,,
